ID,NU_NOTA_LC
0,507.09573516048425
1,583.0318063853182
2,514.5858568953544
3,466.2258039973956
4,532.2626599637769
5,563.3701112587532
6,498.34842984908744
7,480.81156688934084
8,493.6245597719046
9,617.3424738251867
10,604.9281967461819
11,572.0689804952808
12,464.37429600849794
13,597.4312448197217
14,451.1115871227942
15,466.3612497587178
16,621.2806767094797
17,602.9397543702232
18,531.7586021592136
19,521.4127815469813
20,500.2051633067527
21,592.433169198803
22,571.653720969502
23,453.3256662299462
24,467.9719740342214
25,558.375652209653
26,436.9150982388263
27,539.9166191576098
28,429.2839119818814
29,458.9837082339345
30,534.4067636835081
31,616.6780708217111
32,579.548399612434
33,557.7244632144458
34,547.5279513801726
35,463.927042292648
36,483.79764356221216
37,508.0279151919297
38,524.9595671095416
39,502.0981869600466
40,481.84140199266653
41,533.3762375238631
42,551.4737468393212
43,448.86257072422796
44,652.1303060343523
45,444.4044682771682
46,490.44810506175503
47,473.6851945046311
48,452.0266593284195
49,540.533422512249
50,465.9453978572007
51,467.27245368580276
52,527.9355466594453
53,546.7136392034863
54,563.5587534372008
55,558.0050720191741
56,475.52864215238174
57,516.227930825284
58,537.7536343227009
59,612.4966116133626
60,518.8939216803814
61,462.9407884845655
62,451.59255882380984
63,526.4249251636382
64,531.5976811008144
65,435.6319247145723
66,534.16774849387
67,462.0570994577642
68,454.8055201557296
69,535.4982164263216
70,545.5418995469188
71,593.5492284909888
72,514.8134507394565
73,507.3270277409374
74,589.1386182142983
75,485.711133669273
76,501.2887819798409
77,483.34823018804997
78,572.4977119798702
79,588.5206510027604
80,505.4189301687142
81,571.0161411211761
82,474.5001829611417
83,476.2448987796748
84,482.9617783322657
85,537.6253481248029
86,495.4494619105826
87,519.8117635360512
88,465.3724827403237
89,481.2235268144414
90,490.5750548754855
91,507.05955747553537
92,565.0049803148605
93,475.66652998344546
94,574.3162231651579
95,609.7160465309388
96,505.39366928623514
97,468.7555808681114
98,504.58402143445835
99,535.9132184891565
100,597.6410206979037
101,511.4888245994169
102,544.6134299952845
103,607.0964604776028
104,535.6974597249961
105,633.3094203522573
106,623.2084960894348
107,547.0110155578645
108,467.8704802666667
109,643.1065665127961
110,549.6151743263106
111,481.66082030810463
112,510.26364087914845
113,632.4471708568717
114,484.42211784804056
115,489.27731624324
116,493.88343054325856
117,535.3565968745206
118,595.7938115029218
119,553.6212415831802
120,536.7862852619099
121,487.77713953689835
122,496.59694647140685
123,615.4322164886357
124,507.1179433105813
125,573.1594738489814
126,506.04156988144956
127,486.9628915701915
128,523.0301516577638
129,528.3270144698192
130,522.5266249349455
131,465.62649446773526
132,580.0616703101169
133,492.0481092516758
134,522.1709422231671
135,570.360842834117
136,592.1242187290816
137,504.2082566139616
138,464.7540953266764
139,497.3432079785942
140,493.2081502107795
141,490.56596585843045
142,489.15383836465327
143,524.3527439948023
144,534.0158334074132
145,599.8537894071774
146,674.6696601460991
147,563.436533232773
148,502.1807080196599
149,580.0294368976221
150,622.5782425726724
151,485.7643914002123
152,596.6759411600997
153,522.7702182597905
154,546.6587465220707
155,567.2620001662237
156,456.6303161808257
157,493.84027133963593
158,465.40138450411604
159,625.6911626061689
160,610.4711623380134
161,632.0558167187723
162,603.7312361275848
163,438.65702580212866
164,452.4535116203639
165,509.622714803623
166,559.3354279046216
167,565.6220902902976
168,584.6238427781319
169,594.1751089128732
170,599.6584248595937
171,426.6843033730394
172,610.4544090595786
173,473.0347510731951
174,576.1045129849609
175,477.434014176834
176,596.5025651857118
177,519.2197895344286
178,568.835921812452
179,568.0780624120641
180,483.67644024346305
181,508.3589940258946
182,512.5322981887588
183,510.1715641578596
184,504.1770992786729
185,580.8279493740503
186,503.1339157952448
187,631.4047498990466
188,491.4164077327621
189,496.15390923040144
190,536.2207461170103
191,487.44033404865553
192,522.5426362959176
193,612.0186904032867
194,585.7138494223327
195,526.194010178978
196,482.7884264017468
197,586.209069215406
198,533.2720823844663
199,545.8902215657465
200,467.458948223953
201,610.5872712973039
202,560.3519976725456
203,439.03584605939136
204,544.8998775292636
205,443.70400284505826
206,544.6293672653263
207,447.5688430538456
208,585.6609210255816
209,621.5680934051227
210,495.77544424803267
211,535.7522348257186
212,549.1746902536122
213,477.6372741871824
214,534.002859083365
215,603.0768047074355
216,565.3573667216094
217,490.7187614093491
218,553.0291856931606
219,550.9032453168466
220,526.186716036048
221,468.6868609813192
222,523.1404783625962
223,541.3391558881717
224,488.3238810953366
225,540.3731073849514
226,558.9546503020695
227,612.8350585001539
228,626.5003848978865
229,582.9639851861737
230,439.93358940032226
231,548.0946738131781
232,462.1585878441154
233,547.6983736726312
234,589.3372904793516
235,508.92695190746446
236,536.1266093981033
237,471.98803055390977
238,472.50464293040346
239,529.2425637042076
240,596.5400262815602
241,616.6225565891606
242,508.6139752543804
243,522.7675782652061
244,628.015247241415
245,539.4739266001874
246,603.9473176455766
247,498.0516420471068
248,442.74861200153555
249,566.509336680358
250,591.3752193192255
251,542.4797250625728
252,436.75715256708025
253,559.9810903333537
254,463.0424159251484
255,507.2361850296913
256,574.6531369187894
257,572.0563020831704
258,477.2163613693031
259,552.5390216245065
260,465.53128804777486
261,453.2034689341868
262,501.51305637236396
263,483.4366377529363
264,545.6549744860332
265,497.476798910022
266,572.127210980386
267,470.0680514835888
268,450.1769846380631
269,453.2686140028943
270,596.2530454358806
271,446.3708592853643
272,486.0206826459041
273,599.4275087999614
274,520.8260935599858
275,568.3907831345358
276,477.1260853835416
277,599.116397832142
278,527.2075923992879
279,551.4950341815573
280,563.9659566738792
281,524.5859953880358
282,543.3092305586355
283,562.0929812557798
284,574.5846240279253
285,478.49011963900665
286,618.2504599110026
287,461.02116582075104
288,477.87272421923046
289,441.19521790874774
290,484.44815485262274
291,514.0901281443935
292,433.3986858614128
293,593.0775062628983
